ANO;t_bond_acumulada
2000;0.166552671253975
2001;0.0557218118924926
2002;0.151164003781093
2003;0.00375318588177585
2004;0.0449068370227455
2005;0.0286753295977795
2006;0.0196100124175684
2007;0.102099219300128
2008;0.20101279926977
2009;-0.111166953132592
2010;0.0846293388035577
2011;0.160353349994614
2012;0.0297157197801895
2013;-0.0910456879434726
2014;0.107461804520048
2015;0.0128429967097922
2016;0.00690550469874779
2017;0.0280171627077895
2018;-0.000166923857134026
2019;0.0963563074154839
2020;0.113318976466141
0;1.21
